trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,ingestion_ts
2025-07-07 20:21:19,30196143598753,fraud_Lawson Ltd,shopping,74.61,Emily,Hart,F,3336 Jennifer Heights,Lake Stacy,CA,86067,19.7908745,-84.854701,393865,Artist,2009-11-01,a89faf7fa18f42a68bf3d044ddd11da7,1751919679,19.878764260245898,-84.90335378865512,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:19,38847462526732,fraud_Shelton LLC,misc_pos,54.91,Jeffrey,Robinson,M,768 Justin Rest,East Brandifurt,CA,18486,3.6668995,-69.979045,441140,Artist,1966-03-26,d598f978e19b4e7280df02934539eaac,1751919679,4.070548250622894,-70.25261535974006,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:19,3560225659085079,fraud_Bowen-Johnson,food,129.93,Randy,Sandoval,F,805 Lyons Flat,Boyleland,CA,26783,44.1731775,-66.657206,41843,Artist,1978-06-06,2db1de33cd1746b38726d60a705f2488,1751919679,44.04842746689188,-66.95407075839897,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:19,4670787238159779,fraud_Watts-Tran,health_fitness,372.86,Jill,Navarro,F,753 Aaron Dam Apt. 404,Port Samuelbury,CA,42058,62.786613,120.097297,336437,Artist,2012-12-21,70b93b93dada4f36a3f86a1b190177eb,1751919679,62.58369137676741,120.47969808840085,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:19,30563954241080,fraud_Simmons Inc,travel,151.99,Deborah,Reed,F,154 Ryan Trace,Garnerburgh,CA,42393,72.467904,-82.890136,58670,Artist,2006-11-06,f255fb86dfbe48db8d98b526ab768028,1751919679,72.59898241643592,-83.32012525806611,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:19,4340086298213380,fraud_Taylor Inc,personal_care,432.2,Sabrina,Stone,M,035 Darius Lodge,Kathrynville,CA,42590,41.853373,36.554333,304744,Artist,2002-12-30,8430fba1f675497ca2e14dd3e892b176,1751919679,41.89861728530229,36.77680329454322,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:19,348150892220165,"fraud_Villarreal, Merritt and Wright",shopping,216.14,Crystal,Greer,F,503 Mark Rue Apt. 073,Deniseton,CA,75925,-70.447373,85.32024,9567,Artist,2013-02-27,ad27c7db252f40f2a83e5241e32464fe,1751919679,-70.60353821204656,85.25623490629148,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:19,4423632023676480,"fraud_Rios, Richardson and Phillips",shopping,456.11,Brooke,Sims,M,58483 Phillips Trail Suite 137,North Bettyside,CA,28399,-89.7066145,91.633553,42187,Artist,1957-05-09,ff3fd47c6f4948a2baa571620dd5fc4a,1751919679,-89.74787244411117,91.3425186026352,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:19,349790854530223,"fraud_Reynolds, Thomas and Cook",travel,458.84,Todd,Sullivan,M,403 Christopher Manor,West Veronicaville,CA,16040,-24.361537,2.830856,79952,Artist,2008-10-12,6ede37a312bf4807a92b7c4171abeed8,1751919679,-24.110211061603238,2.971474333374375,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:19,213192221923434,fraud_Ross-Burnett,personal_care,291.74,Kristen,Anderson,M,32668 Marcus Vista,Wagnerfurt,CA,63183,8.20151,65.028622,464002,Artist,1994-07-03,41a31b908f334cb6b8b674e31f380db7,1751919679,8.215989255710937,64.91229523900539,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:19,4279565285799755764,"fraud_Rivas, Martinez and Davies",gas_transport,37.87,Amanda,Shepherd,F,42800 John Lock Suite 864,West Erik,CA,91167,-46.1635305,-32.402128,237631,Artist,1944-11-02,78fcfb732e3d48b2941ac017a4e19b3c,1751919679,-46.54429278825384,-32.6263257621132,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:19,347752035165479,fraud_Hanson-Thomas,food,60.19,Julie,Hill,M,1722 Miller Orchard,Kimberlymouth,CA,45885,-48.4544705,-107.319893,416136,Artist,1959-03-14,882836341dff42ab989465575f1e0b01,1751919679,-48.864976362381746,-106.89219494543974,1,2025-07-07T20:21:20.086075
2025-07-07 20:21:19,371019702505034,"fraud_Watson, Smith and Flores",shopping,79.0,Wesley,Thompson,F,465 Williams Burgs Apt. 121,Dickersonside,CA,16132,31.545379,137.193717,124037,Artist,1965-08-17,a5f024cb2e0641fea9a629eb681dc01d,1751919679,32.02715039435945,137.38983981113046,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:19,4906132160296,fraud_Zamora-Wilcox,misc_pos,79.56,Ronnie,Jones,M,0784 Ortiz Turnpike Apt. 941,East Lindsay,CA,93551,-22.827549,-61.738613,411112,Artist,1963-10-10,2513a7035e024ed68fb67aed458b2c71,1751919679,-23.188082411088942,-61.484961885327934,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:19,3583027764988822,fraud_Scott-Nelson,shopping,210.31,Joseph,Berry,F,4873 Vincent Radial Suite 392,New Harold,CA,99735,-20.4011095,-151.808973,79718,Artist,1929-04-25,5eee649bc7f7487eada2fd5c575e30f3,1751919679,-20.243898482449616,-151.84314635823682,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:19,676262974535,fraud_Robertson and Sons,shopping,19.27,Jennifer,Griffin,F,945 Wayne Village Apt. 188,South Edward,CA,64427,23.3059255,72.560001,74747,Artist,2005-06-19,92e56da2bc2b4aafb238ab77dbb80b6c,1751919679,22.94972045104737,72.82612669414759,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:19,4299684241228595,"fraud_Smith, Martin and Johnson",food,360.49,William,Bradley,F,65374 Obrien Islands,Lake Courtneyburgh,CA,68184,89.719657,-75.815992,46664,Artist,1999-01-22,9ef1422bd5074781a033e0138c2c7e09,1751919679,90.14291952373668,-75.48735091572722,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:19,4256269099333,fraud_Barrera Group,travel,42.35,Raymond,Hunt,F,75563 Anthony Oval,Byrdberg,CA,27899,-83.691624,-87.346678,60000,Artist,2011-09-02,96ca01bacde44e52861197b6c484e4dc,1751919679,-84.01623527327816,-87.12747783530395,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:19,30114076581068,fraud_Simmons-Gibson,shopping,342.13,Brian,Davidson,F,70019 Anthony Crossroad Suite 604,New Ryanchester,CA,70651,-8.2838755,-43.143213,299661,Artist,1982-08-02,9a6c9c0e0010466d8da4243df8314c71,1751919679,-8.053974898106322,-43.44876045566756,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:19,379998751110568,"fraud_Payne, Brown and Stevens",food,347.87,Donald,Sawyer,M,886 Deborah Inlet Suite 667,Escobarmouth,CA,08819,44.678732,-75.900889,312689,Artist,1943-10-20,fce25ed95db2417fa24c6a2836693189,1751919679,44.905907910941345,-76.04231710638891,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:20,4742499604497247,"fraud_Rodriguez, Bass and Mills",misc_pos,416.44,Tiffany,Peck,M,6056 Ramirez Fall Apt. 400,Port Amy,CA,70324,25.160642,27.038843,387127,Artist,2016-03-31,da349e93534949feaeada0192a54d885,1751919680,24.842189745160383,27.50853319975104,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:20,4053093629036248,"fraud_Moore, Mckinney and Garrett",health_fitness,297.22,Erin,Gutierrez,F,595 Brewer Lodge Apt. 248,East Robin,CA,67271,-79.1499795,5.149695,180385,Artist,1984-08-03,787b523a66ec424da0029c9e837bb166,1751919680,-79.32984804362434,5.020172129161854,0,2025-07-07T20:21:20.086075
2025-07-07 20:21:20,3567822114983980,fraud_Powers-Glover,shopping,146.13,Erin,Francis,M,5369 Adams Knoll Apt. 628,South Stevenbury,CA,84378,31.239325,-177.236784,335900,Artist,1930-01-06,504b153f4f5e44cfb1dd70ca40b70467,1751919680,31.55524775673927,-177.4384421224747,0,2025-07-07T20:21:20.086075
